Column 2,Column 3,Column 6
2020-03-18,#FelizMiercoles,19623
2020-03-19,#FelizMiercoles,55170
2020-03-19,#FelizMiercoles,56071
2020-03-19,#FelizMiercoles,56539
2020-03-19,#FelizMiercoles,56789
2020-03-19,#FelizMiercoles,56668
2020-03-20,#FelizViernesATodos,11011
2020-03-20,#FelizViernesATodos,23599
2020-03-21,#FelizSabado,11801
2020-03-21,#FelizSabado,31868
2020-03-22,#FelizSabado,56721
2020-03-22,#FelizDomingo,10178
2020-03-22,#FelizDomingo,16937
2020-03-22,#FelizDomingo,27616
2020-03-23,#FelizDomingo,65462
2020-03-23,#FelizLunes,13188
2020-03-23,#FelizLunes,21087
2020-03-24,#FelizMartes,14469
2020-03-24,#FelizMartes,26046
